Row ID,Customer Name,Customer Segment,Order ID,Number of Records,Order Date,Order Priority,Order Quantity,Order Discount,Product Category,Product Container,Product Name,Product Sub-Category,Unit Price,Product Base Margin,Sales,Profit,Ship Date,Ship Mode,Shipping Cost,City,State,Region,Zip Code,Reached on Time
1,Muhammed MacIntyre,Small Business,3,1,10/13/2013,Low,6,0.04,Office Supplies,Large Box,"Eldon Base for stackable storage shelf, platinum",Storage & Organization,38.94,0.80,261.54,-213.25,10/20/2013,Regular Air,35,Highland Park,Illinois,Central,60035,0
2,Ruben Dartt,Corporate,6,1,2/20/2015,Not Specified,2,0.01,Office Supplies,Small Pack,Kleencut® Forged Office Shears by Acme United Corporation,"Scissors, Rulers and Trimmers",2.08,0.55,6.93,-4.64,2/21/2015,Regular Air,2.56,Edmonds,Washington,West,98026,0
3,Liz Pelletier,Corporate,32,1,7/15/2014,High,26,0.07,Furniture,Medium Box,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Office Furnishings,107.53,0.65,2808.08,1054.82,7/17/2014,Regular Air,5.81,Elk Plain,Washington,West,98387,0
4,Liz Pelletier,Corporate,32,1,7/15/2014,High,24,0.09,Furniture,Jumbo Box,KI Conference Tables,Tables,70.89,0.72,1761.4,-1748.56,7/16/2014,Delivery Truck,89.3,Elk Plain,Washington,West,98387,1
5,Liz Pelletier,Corporate,32,1,7/15/2014,High,23,0.04,Technology,Medium Box,Bell Sonecor JB700 Caller ID,Telephones and Communication,7.99,0.60,160.2335,-85.129,7/17/2014,Regular Air,5.03,Elk Plain,Washington,West,98387,0
6,Liz Pelletier,Corporate,32,1,7/15/2014,High,15,0.04,Technology,Small Pack,"Imation 3.5 IBM Diskettes, 10/Box",Computer Peripherals,8.46,0.79,140.56,-128.38,7/16/2014,Regular Air,8.99,High Point,North Carolina,South,27260,0
7,Julie Creighton,Corporate,35,1,10/22/2014,Not Specified,30,0.03,Office Supplies,Wrap Bag,Dixon Ticonderoga Core-Lock Colored Pencils,Pens & Art Supplies,9.11,0.52,288.56,60.72,10/23/2014,Regular Air,2.25,Ames,Iowa,Central,50010,1
8,Julie Creighton,Corporate,35,1,10/22/2014,Not Specified,14,0.01,Technology,Small Box,CF 688,Telephones and Communication,155.99,0.58,1892.848,48.987,10/24/2014,Regular Air,8.99,Ames,Iowa,Central,50010,1
9,Sample Company A,Home Office,36,1,11/2/2014,Critical,46,0.10,Technology,Small Box,6162i,Telephones and Communication,65.99,0.55,2484.7455,657.477,11/2/2014,Regular Air,4.2,Albany,Oregon,West,97321,0
10,Tamara Dahlen,Corporate,65,1,3/17/2014,Critical,32,0.02,Technology,Small Pack,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Computer Peripherals,115.79,0.49,3812.73,1470.3,3/18/2014,Regular Air,1.99,Pflugerville,Texas,Central,78660,1
11,Arthur Gainer,Consumer,66,1,1/19/2012,Low,41,0.09,Office Supplies,Wrap Bag,Newell 340,Pens & Art Supplies,2.88,0.56,108.15,7.57,1/19/2012,Regular Air,0.7,Santa Fe,New Mexico,West,87505,0
